PC  Teal                                                            Stack
1   #pragma version 8
244 frame_dig 1                                                     1, 7, 11, 2, 1, 7, 1, 2, 1
246 frame_bury 0                                                    1, 7, 11, 1, 1, 7, 1, 2
248 frame_bury 1                                                    1, 7, 11, 1, 2, 7, 1
250 b test_swap_loop_while_top@3                                    1, 7, 11, 1, 2, 7, 1
229 frame_dig 0                                                     1, 7, 11, 1, 2, 7, 1, 1
231 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 1, 1, 1
233 int 0                                                           1, 7, 11, 1, 2, 7, 1, 1, 1, 0
234 >                                                               1, 7, 11, 1, 2, 7, 1, 1, 1
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 1, 2, 7, 1, 1
238 frame_dig 3                                                     1, 7, 11, 1, 2, 7, 1, 1, 1
240 int 1                                                           1, 7, 11, 1, 2, 7, 1, 1, 1, 1
241 -                                                               1, 7, 11, 1, 2, 7, 1, 1, 0
242 frame_bury 3                                                    1, 7, 11, 1, 2, 7, 0, 1
244 frame_dig 1                                                     1, 7, 11, 1, 2, 7, 0, 1, 2
246 frame_bury 0                                                    1, 7, 11, 2, 2, 7, 0, 1
248 frame_bury 1                                                    1, 7, 11, 2, 1, 7, 0
250 b test_swap_loop_while_top@3                                    1, 7, 11, 2, 1, 7, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 7, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 7, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 7, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 7, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 7, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 7, 0, 2, 7
255 int 1                                                           1, 7, 11, 2, 1, 7, 0, 2, 7, 1
256 -                                                               1, 7, 11, 2, 1, 7, 0, 2, 6
257 frame_bury 2                                                    1, 7, 11, 2, 1, 6, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 6, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 6, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 6, 0, 6
224 int 0                                                           1, 7, 11, 2, 1, 6, 0, 6, 0
225 >                                                               1, 7, 11, 2, 1, 6, 0, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 6, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 6, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 6, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 6, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 6, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 6, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 6, 0, 2, 6
255 int 1                                                           1, 7, 11, 2, 1, 6, 0, 2, 6, 1
256 -                                                               1, 7, 11, 2, 1, 6, 0, 2, 5
257 frame_bury 2                                                    1, 7, 11, 2, 1, 5, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 5, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 5, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 5, 0, 5
224 int 0                                                           1, 7, 11, 2, 1, 5, 0, 5, 0
225 >                                                               1, 7, 11, 2, 1, 5, 0, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 5, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 5, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 5, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 5, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 5, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 5, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 5, 0, 2, 5
255 int 1                                                           1, 7, 11, 2, 1, 5, 0, 2, 5, 1
256 -                                                               1, 7, 11, 2, 1, 5, 0, 2, 4
257 frame_bury 2                                                    1, 7, 11, 2, 1, 4, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 4, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 4, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 4, 0, 4
224 int 0                                                           1, 7, 11, 2, 1, 4, 0, 4, 0
225 >                                                               1, 7, 11, 2, 1, 4, 0, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 4, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 4, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 4, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 4, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 4, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 4, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 4, 0, 2, 4
255 int 1                                                           1, 7, 11, 2, 1, 4, 0, 2, 4, 1
256 -                                                               1, 7, 11, 2, 1, 4, 0, 2, 3
257 frame_bury 2                                                    1, 7, 11, 2, 1, 3, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 3, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 3, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 3, 0, 3
224 int 0                                                           1, 7, 11, 2, 1, 3, 0, 3, 0
225 >                                                               1, 7, 11, 2, 1, 3, 0, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 3, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 3, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 3, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 3, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 3, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 3, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 3, 0, 2, 3
255 int 1                                                           1, 7, 11, 2, 1, 3, 0, 2, 3, 1
256 -                                                               1, 7, 11, 2, 1, 3, 0, 2, 2
257 frame_bury 2                                                    1, 7, 11, 2, 1, 2, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 2, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 2, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 2, 0, 2
224 int 0                                                           1, 7, 11, 2, 1, 2, 0, 2, 0
225 >                                                               1, 7, 11, 2, 1, 2, 0, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 2, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 2, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 2, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 2, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 2, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 2, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 2, 0, 2, 2
255 int 1                                                           1, 7, 11, 2, 1, 2, 0, 2, 2, 1
256 -                                                               1, 7, 11, 2, 1, 2, 0, 2, 1
257 frame_bury 2                                                    1, 7, 11, 2, 1, 1, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 1, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 1, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 1, 0, 1
224 int 0                                                           1, 7, 11, 2, 1, 1, 0, 1, 0
225 >                                                               1, 7, 11, 2, 1, 1, 0, 1
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 1, 0
229 frame_dig 0                                                     1, 7, 11, 2, 1, 1, 0, 2
231 frame_dig 3                                                     1, 7, 11, 2, 1, 1, 0, 2, 0
233 int 0                                                           1, 7, 11, 2, 1, 1, 0, 2, 0, 0
234 >                                                               1, 7, 11, 2, 1, 1, 0, 2, 0
235 bz test_swap_loop_after_while@5                                 1, 7, 11, 2, 1, 1, 0, 2
253 frame_dig 2                                                     1, 7, 11, 2, 1, 1, 0, 2, 1
255 int 1                                                           1, 7, 11, 2, 1, 1, 0, 2, 1, 1
256 -                                                               1, 7, 11, 2, 1, 1, 0, 2, 0
257 frame_bury 2                                                    1, 7, 11, 2, 1, 0, 0, 2
259 frame_bury 0                                                    1, 7, 11, 2, 1, 0, 0
261 b test_swap_loop_while_top@1                                    1, 7, 11, 2, 1, 0, 0
222 frame_dig 2                                                     1, 7, 11, 2, 1, 0, 0, 0
224 int 0                                                           1, 7, 11, 2, 1, 0, 0, 0, 0
225 >                                                               1, 7, 11, 2, 1, 0, 0, 0
226 bz test_swap_loop_after_while@6                                 1, 7, 11, 2, 1, 0, 0
264 retsub                                                          1, 2
83  pop                                                             1
84  int 0                                                           1, 0
85  callsub test_param_update_with_reentrant_entry_block            1, 0
265 proto 1 1                                                       1, 0
268 frame_dig -1                                                    1, 0, 0
270 frame_dig 0                                                     1, 0, 0, 0
272 int 1                                                           1, 0, 0, 0, 1
273 +                                                               1, 0, 0, 1
274 dup                                                             1, 0, 0, 1, 1
275 frame_bury 0                                                    1, 0, 1, 1
277 int 10                                                          1, 0, 1, 1, 10
279 >=                                                              1, 0, 1, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 1
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 1
270 frame_dig 0                                                     1, 0, 1, 1
272 int 1                                                           1, 0, 1, 1, 1
273 +                                                               1, 0, 1, 2
274 dup                                                             1, 0, 1, 2, 2
275 frame_bury 0                                                    1, 0, 2, 2
277 int 10                                                          1, 0, 2, 2, 10
279 >=                                                              1, 0, 2, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 2
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 2
270 frame_dig 0                                                     1, 0, 2, 2
272 int 1                                                           1, 0, 2, 2, 1
273 +                                                               1, 0, 2, 3
274 dup                                                             1, 0, 2, 3, 3
275 frame_bury 0                                                    1, 0, 3, 3
277 int 10                                                          1, 0, 3, 3, 10
279 >=                                                              1, 0, 3, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 3
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 3
270 frame_dig 0                                                     1, 0, 3, 3
272 int 1                                                           1, 0, 3, 3, 1
273 +                                                               1, 0, 3, 4
274 dup                                                             1, 0, 3, 4, 4
275 frame_bury 0                                                    1, 0, 4, 4
277 int 10                                                          1, 0, 4, 4, 10
279 >=                                                              1, 0, 4, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 4
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 4
270 frame_dig 0                                                     1, 0, 4, 4
272 int 1                                                           1, 0, 4, 4, 1
273 +                                                               1, 0, 4, 5
274 dup                                                             1, 0, 4, 5, 5
275 frame_bury 0                                                    1, 0, 5, 5
277 int 10                                                          1, 0, 5, 5, 10
279 >=                                                              1, 0, 5, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 5
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 5
270 frame_dig 0                                                     1, 0, 5, 5
272 int 1                                                           1, 0, 5, 5, 1
273 +                                                               1, 0, 5, 6
274 dup                                                             1, 0, 5, 6, 6
275 frame_bury 0                                                    1, 0, 6, 6
277 int 10                                                          1, 0, 6, 6, 10
279 >=                                                              1, 0, 6, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 6
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 6
270 frame_dig 0                                                     1, 0, 6, 6
272 int 1                                                           1, 0, 6, 6, 1
273 +                                                               1, 0, 6, 7
274 dup                                                             1, 0, 6, 7, 7
275 frame_bury 0                                                    1, 0, 7, 7
277 int 10                                                          1, 0, 7, 7, 10
279 >=                                                              1, 0, 7, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 7
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 7
270 frame_dig 0                                                     1, 0, 7, 7
272 int 1                                                           1, 0, 7, 7, 1
273 +                                                               1, 0, 7, 8
274 dup                                                             1, 0, 7, 8, 8
275 frame_bury 0                                                    1, 0, 8, 8
277 int 10                                                          1, 0, 8, 8, 10
279 >=                                                              1, 0, 8, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 8
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 8
270 frame_dig 0                                                     1, 0, 8, 8
272 int 1                                                           1, 0, 8, 8, 1
273 +                                                               1, 0, 8, 9
274 dup                                                             1, 0, 8, 9, 9
275 frame_bury 0                                                    1, 0, 9, 9
277 int 10                                                          1, 0, 9, 9, 10
279 >=                                                              1, 0, 9, 0
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 9
287 b test_param_update_with_reentrant_entry_block_while_top@1      1, 0, 9
270 frame_dig 0                                                     1, 0, 9, 9
272 int 1                                                           1, 0, 9, 9, 1
273 +                                                               1, 0, 9, 10
274 dup                                                             1, 0, 9, 10, 10
275 frame_bury 0                                                    1, 0, 10, 10
277 int 10                                                          1, 0, 10, 10, 10
279 >=                                                              1, 0, 10, 1
280 bz test_param_update_with_reentrant_entry_block_after_if_else@4 1, 0, 10
283 frame_dig 0                                                     1, 0, 10, 10
285 swap                                                            1, 0, 10, 10
286 retsub                                                          1, 10
88  int 10                                                          1, 10, 10
90  ==                                                              1, 1
91  assert                                                          1
92  int 0                                                           1, 0
93  callsub test_param_update_with_reentrant_entry_block_v2         1, 0
290 proto 1 1                                                       1, 0
293 frame_dig -1                                                    1, 0, 0
295 int 1                                                           1, 0, 0, 1
296 +                                                               1, 0, 1
297 frame_dig 0                                                     1, 0, 1, 1
299 int 1                                                           1, 0, 1, 1, 1
300 >=                                                              1, 0, 1, 1
301 bz test_param_update_with_reentrant_entry_block_v2_while_top@1  1, 0, 1
304 frame_dig 0                                                     1, 0, 1, 1
306 swap                                                            1, 0, 1, 1
307 retsub                                                          1, 1
96  pop                                                             1
97  callsub test_param_update_with_reentrant_entry_block_v3         1
308 proto 0 0                                                       1
311 callsub one                                                     1
318 proto 0 1                                                       1
321 int 1                                                           1, 1
322 retsub                                                          1, 1
314 bz test_param_update_with_reentrant_entry_block_v3_while_top@1  1
317 retsub                                                          1
100 callsub test_swap_args                                          1
323 proto 0 0                                                       1
326 callsub one                                                     1
318 proto 0 1                                                       1
321 int 1                                                           1, 1
322 retsub                                                          1, 1
329 int 123                                                         1, 1, 123
331 +                                                               1, 124
332 callsub one                                                     1, 124
318 proto 0 1                                                       1, 124
321 int 1                                                           1, 124, 1
322 retsub                                                          1, 124, 1
335 int 234                                                         1, 124, 1, 234
338 +                                                               1, 124, 235
339 callsub swap_args                                               1, 124, 235
353 proto 2 2                                                       1, 124, 235
356 frame_dig -1                                                    1, 124, 235, 235
358 frame_dig -2                                                    1, 124, 235, 235, 124
360 retsub                                                          1, 235, 124
342 swap                                                            1, 124, 235
343 int 235                                                         1, 124, 235, 235
346 ==                                                              1, 124, 1
347 assert                                                          1, 124
348 int 124                                                         1, 124, 124
350 ==                                                              1, 1
351 assert                                                          1
352 retsub                                                          1
103 int 100                                                         1, 100
104 int 200                                                         1, 100, 200
106 int 0                                                           1, 100, 200, 0
107 callsub test_tuple_swap                                         1, 100, 200, 0
361 proto 3 2                                                       1, 100, 200, 0
364 int 0                                                           1, 100, 200, 0, 0
365 frame_dig -2                                                    1, 100, 200, 0, 0, 200
367 frame_dig -3                                                    1, 100, 200, 0, 0, 200, 100
369 frame_dig 1                                                     1, 100, 200, 0, 0, 200, 100, 200
371 swap                                                            1, 100, 200, 0, 0, 200, 200, 100
372 frame_bury 1                                                    1, 100, 200, 0, 0, 100, 200
374 frame_dig 0                                                     1, 100, 200, 0, 0, 100, 200, 0
376 frame_dig -1                                                    1, 100, 200, 0, 0, 100, 200, 0, 0
378 <                                                               1, 100, 200, 0, 0, 100, 200, 0
379 bz test_tuple_swap_after_for@4                                  1, 100, 200, 0, 0, 100, 200
391 frame_dig 1                                                     1, 100, 200, 0, 0, 100, 200, 100
393 swap                                                            1, 100, 200, 0, 0, 100, 100, 200
394 uncover 3                                                       1, 100, 200, 0, 100, 100, 200, 0
396 uncover 3                                                       1, 100, 200, 0, 100, 200, 0, 100
398 retsub                                                          1, 100, 200
110 swap                                                            1, 200, 100
111 int 100                                                         1, 200, 100, 100
112 ==                                                              1, 200, 1
113 assert                                                          1, 200
114 int 200                                                         1, 200, 200
116 ==                                                              1, 1
117 assert                                                          1
118 int 100                                                         1, 100
119 int 200                                                         1, 100, 200
121 int 1                                                           1, 100, 200, 1
122 callsub test_tuple_swap                                         1, 100, 200, 1
361 proto 3 2                                                       1, 100, 200, 1
364 int 0                                                           1, 100, 200, 1, 0
365 frame_dig -2                                                    1, 100, 200, 1, 0, 200
367 frame_dig -3                                                    1, 100, 200, 1, 0, 200, 100
369 frame_dig 1                                                     1, 100, 200, 1, 0, 200, 100, 200
371 swap                                                            1, 100, 200, 1, 0, 200, 200, 100
372 frame_bury 1                                                    1, 100, 200, 1, 0, 100, 200
374 frame_dig 0                                                     1, 100, 200, 1, 0, 100, 200, 0
376 frame_dig -1                                                    1, 100, 200, 1, 0, 100, 200, 0, 1
378 <                                                               1, 100, 200, 1, 0, 100, 200, 1
379 bz test_tuple_swap_after_for@4                                  1, 100, 200, 1, 0, 100, 200
382 frame_dig 0                                                     1, 100, 200, 1, 0, 100, 200, 0
384 int 1                                                           1, 100, 200, 1, 0, 100, 200, 0, 1
385 +                                                               1, 100, 200, 1, 0, 100, 200, 1
386 frame_bury 0                                                    1, 100, 200, 1, 1, 100, 200
388 b test_tuple_swap_for_header@1                                  1, 100, 200, 1, 1, 100, 200
369 frame_dig 1                                                     1, 100, 200, 1, 1, 100, 200, 100
371 swap                                                            1, 100, 200, 1, 1, 100, 100, 200
372 frame_bury 1                                                    1, 100, 200, 1, 1, 200, 100
374 frame_dig 0                                                     1, 100, 200, 1, 1, 200, 100, 1
376 frame_dig -1                                                    1, 100, 200, 1, 1, 200, 100, 1, 1
378 <                                                               1, 100, 200, 1, 1, 200, 100, 0
379 bz test_tuple_swap_after_for@4                                  1, 100, 200, 1, 1, 200, 100
391 frame_dig 1                                                     1, 100, 200, 1, 1, 200, 100, 200
393 swap                                                            1, 100, 200, 1, 1, 200, 200, 100
394 uncover 3                                                       1, 100, 200, 1, 200, 200, 100, 1
396 uncover 3                                                       1, 100, 200, 1, 200, 100, 1, 200
398 retsub                                                          1, 200, 100
125 swap                                                            1, 100, 200
126 int 200                                                         1, 100, 200, 200
128 ==                                                              1, 100, 1
129 assert                                                          1, 100
130 int 100                                                         1, 100, 100
131 ==                                                              1, 1
132 assert                                                          1
133 int 1                                                           1, 1
134 return                                                          1
